t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
170.25	49.4	4.0	0.00	2.32	1
170.76	49.4	4.0	0.00	2.33	1
171.26	49.4	7.9	0.00	2.70	1
171.76	49.4	4.0	0.00	2.89	1
172.27	49.4	4.0	0.00	3.11	1
172.77	49.4	6.0	0.00	3.52	1
173.28	49.4	6.0	0.00	4.02	1
173.78	49.4	7.9	0.00	4.45	1
174.28	49.4	4.0	0.00	4.76	1
174.79	49.4	6.0	0.00	4.40	1
175.29	49.4	2.0	0.00	3.27	1
175.79	49.4	6.0	0.00	2.95	1
176.30	49.4	5.9	0.00	3.11	1
176.80	49.4	4.0	0.00	3.27	1
177.31	49.4	7.9	0.00	3.40	1
177.81	49.4	7.9	0.00	3.50	1
178.31	49.4	4.0	0.00	3.08	1
178.82	49.4	6.0	0.00	2.49	1
179.32	49.4	4.0	0.00	2.67	1
179.82	49.4	6.0	0.00	2.63	1
180.33	49.4	4.0	0.00	2.79	1
180.83	49.4	4.0	0.00	2.94	1
181.34	49.4	7.9	0.00	2.93	1
181.84	49.4	6.0	0.00	2.89	1
182.34	49.4	4.0	0.00	2.86	1
182.85	49.4	2.0	0.00	2.45	1
183.35	49.4	2.0	0.00	2.15	1
183.85	49.4	6.0	0.00	2.38	1
184.36	49.4	4.0	0.00	2.64	1
184.86	49.4	4.0	0.00	2.77	1
185.37	49.4	4.0	0.00	2.86	1
185.87	49.4	7.9	0.00	2.80	1
186.38	49.4	4.0	0.00	2.82	1
186.88	49.4	2.0	0.00	2.35	1
187.38	49.4	4.0	0.00	2.08	1
187.89	49.4	4.0	0.00	2.24	1
188.39	49.4	2.0	0.00	2.40	1
188.89	49.4	4.0	0.00	2.45	1
189.40	49.4	4.0	0.00	2.49	1
189.90	49.4	4.0	0.00	2.43	1
190.41	49.4	4.0	0.00	2.38	1
190.91	49.4	2.0	0.00	1.98	1
191.41	49.4	2.0	0.00	1.48	1
191.92	49.4	4.0	0.00	1.35	1
192.42	49.4	2.0	0.00	1.44	1
192.93	49.4	2.0	0.00	1.51	1
193.43	49.4	4.0	0.00	1.53	1
193.93	49.4	2.0	0.00	1.48	1
194.44	49.4	4.0	0.00	1.50	1
194.94	49.4	4.0	0.00	1.46	1
195.45	49.4	2.0	0.00	1.53	1
195.95	49.4	4.0	0.00	1.52	1
196.45	49.4	4.0	0.00	1.63	1
196.96	49.4	0.0	0.00	1.67	1
197.46	49.4	4.0	0.00	1.71	1
197.96	49.4	4.0	0.00	1.69	1
198.47	49.4	4.0	0.00	1.72	1
198.97	49.4	4.0	0.00	1.84	1
199.48	49.4	4.0	0.00	2.07	1
199.98	49.4	4.0	0.00	2.10	1
200.48	49.4	6.0	0.00	2.51	1
200.99	49.4	4.0	0.00	2.81	1
201.49	49.4	6.0	0.00	3.16	1
201.99	49.4	6.0	0.00	3.47	1
202.50	49.4	7.9	0.00	3.82	1
203.00	49.4	9.9	0.00	4.48	1
203.51	49.4	2.0	0.00	4.20	1
204.01	49.4	4.0	0.00	3.22	1
204.51	49.4	6.0	0.00	2.86	1
205.02	49.4	2.0	0.00	2.90	1
205.52	49.4	4.0	0.00	2.35	1
