t_rel_s	rss_mb	cpu_pct	read_mbps	write_mbps	nprocs
506.27	61.5	3.8	0.00	1.59	1
506.79	61.5	0.0	0.00	1.59	1
507.31	61.5	3.8	0.00	1.59	1
507.83	61.5	1.9	0.00	1.57	1
508.36	61.5	1.9	0.00	1.71	1
508.88	61.5	1.9	0.00	1.72	1
509.40	61.5	3.8	0.00	1.84	1
509.92	61.5	0.0	0.00	1.77	1
510.45	61.5	5.7	0.00	2.15	1
510.97	61.5	0.0	0.00	1.84	1
511.49	61.5	1.9	0.00	1.75	1
512.01	61.5	1.9	0.00	1.70	1
512.53	61.5	3.8	0.00	1.73	1
513.05	61.5	1.9	0.00	1.69	1
513.58	61.5	0.0	0.00	1.48	1
514.10	61.5	1.9	0.00	1.48	1
514.62	61.5	1.9	0.00	1.59	1
515.14	61.5	1.9	0.00	1.57	1
515.66	61.5	1.9	0.00	1.47	1
516.19	61.5	1.9	0.00	1.53	1
516.71	61.5	1.9	0.00	1.55	1
517.23	61.5	3.8	0.00	1.54	1
517.75	61.5	0.0	0.00	1.37	1
518.27	61.5	1.9	0.00	1.51	1
518.80	61.5	1.9	0.00	1.21	1
519.32	61.5	1.9	0.00	1.48	1
519.84	61.5	1.9	0.00	1.37	1
520.36	61.5	1.9	0.00	1.37	1
520.88	61.5	1.9	0.00	1.37	1
521.41	61.5	1.9	0.00	1.41	1
521.93	61.5	1.9	0.00	1.47	1
522.45	61.5	1.9	0.00	1.44	1
522.97	61.5	1.9	0.00	1.77	1
523.49	61.5	1.9	0.00	1.90	1
524.02	61.5	3.8	0.00	2.02	1
524.54	61.5	0.0	0.00	2.21	1
525.06	61.5	3.8	0.00	2.53	1
525.58	61.5	1.9	0.00	2.35	1
526.10	61.5	3.8	0.00	2.94	1
526.62	61.5	1.9	0.00	2.46	1
527.15	61.5	1.9	0.00	2.30	1
527.67	61.5	3.8	0.00	2.24	1
528.19	61.5	1.9	0.00	1.80	1
528.71	61.5	3.8	0.00	2.28	1
529.23	61.5	0.0	0.00	1.44	1
529.75	61.5	1.9	0.00	1.41	1
530.28	61.5	1.9	0.00	1.32	1
530.80	61.5	1.9	0.00	1.23	1
531.32	61.5	1.9	0.00	1.37	1
531.84	61.5	0.0	0.00	1.48	1
532.36	61.5	1.9	0.00	1.36	1
532.89	61.5	1.9	0.00	1.22	1
533.41	61.5	1.9	0.00	1.61	1
533.93	61.5	1.9	0.00	1.19	1
534.45	61.5	1.9	0.00	1.48	1
534.97	61.5	1.9	0.00	1.44	1
535.50	61.5	1.9	0.00	1.59	1
536.02	61.5	1.9	0.00	1.46	1
536.54	61.5	1.9	0.00	1.72	1
537.06	61.5	1.9	0.00	1.69	1
537.58	61.5	1.9	0.00	1.57	1
538.11	61.5	1.9	0.00	1.51	1
538.63	61.5	1.9	0.00	1.61	1
539.15	61.5	1.9	0.00	1.40	1
539.67	61.5	0.0	0.00	1.38	1
540.20	61.5	1.9	0.00	1.42	1
540.72	61.5	3.8	0.00	1.33	1
541.24	61.5	0.0	0.00	1.30	1
541.76	61.5	1.9	0.00	1.49	1
542.28	61.5	3.8	0.00	1.65	1
542.81	61.5	1.9	0.00	1.67	1
543.33	61.5	1.9	0.00	1.80	1
543.85	61.5	1.9	0.00	1.81	1
544.37	61.5	1.9	0.00	1.80	1
544.89	61.5	1.9	0.00	1.81	1
545.42	61.5	1.9	0.00	1.69	1
545.94	61.5	1.9	0.00	1.83	1
546.46	61.5	1.9	0.00	1.80	1
